gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction
TCEB1P3 /// TCEB1P3,0.06313060348135036,1.7308185624329377,0.08650603595639422,6.81728541937931,6.75415481589796,0.14121621886105423,False,Not Significant
PASK,0.05967966169528527,1.729770189813106,0.08662779833189235,7.6641727931034485,7.604493131408163,0.14139790995839677,False,Not Significant
THOC2,0.11817126327128946,1.7292666727104131,0.08674010540509154,8.894054875189656,8.775883611918367,0.14156412565509144,False,Not Significant
KLF8,0.05974335868859981,1.729045171842127,0.08675515532451632,5.8078101413620695,5.74806678267347,0.14157159191147525,False,Not Significant
NAT6,-0.07164895000950011,-1.7287451206690159,0.08682911470155853,7.161218581051724,7.232867531061224,0.14167517628776574,False,Not Significant
RFX2,-0.09454924897079575,-1.7294295341039152,0.08687693800455895,7.3710340373965515,7.465583286367347,0.14173609574258983,False,Not Significant
CAMLG,-0.09792081873715652,-1.7286233468196677,0.08692157396484439,9.043848415568966,9.141769234306123,0.14179180110257958,False,Not Significant
GPLD1,-0.07228548495284937,-1.7280020480042306,0.0870373634027742,7.2349870839655175,7.307272568918367,0.1419635489245104,False,Not Significant
ADPRM,-0.07917973733532513,-1.726319411167391,0.08723215921303129,7.250043926603449,7.329223663938774,0.1422641042312197,False,Not Significant
PLA2G7,0.28190109051794465,1.7286697482160844,0.08732523905724346,6.9612075290689654,6.679306438551021,0.14239872174935392,False,Not Significant
FMO4,-0.08882427737262333,-1.7255096094988782,0.08738638547333417,9.01949799836207,9.108322275734693,0.1424812401582955,False,Not Significant
GADD45G,-0.11483944581597516,-1.7234973841487327,0.0877486997498018,6.998817541775862,7.113656987591837,0.14305472582853695,False,Not Significant
CA7,0.07289597928219482,1.7230978811234448,0.0878146062399439,7.875881351241379,7.802985371959184,0.1431449045148766,False,Not Significant
IL5RA,0.06315034455700275,1.722809969853327,0.08788978697095882,7.439178266189656,7.376027921632653,0.1432501773893522,False,Not Significant
LOC100507472 /// PCSK6,0.13149880274489956,1.727748716099931,0.08790528666999341,7.216475227500002,7.084976424755102,0.14325816343240816,False,Not Significant
S100A7,0.399356158395495,1.7339763172740708,0.08797684328416044,5.206561880068964,4.807205721673469,0.14335749179954527,False,Not Significant
RFX7,0.04950955574067528,1.722290272884507,0.08799435720339044,4.541445543189655,4.49193598744898,0.1433687447382546,False,Not Significant
KRT20,0.14973735326601112,1.7317411294039433,0.08806594075567649,5.663022627551725,5.513285274285714,0.1434680797146779,False,Not Significant
RFPL3S,0.08599117952287205,1.7212980655198513,0.08818107299893042,5.083903503931035,4.997912324408163,0.14363832729667889,False,Not Significant
MXD3,0.0699471848082327,1.7209294269774427,0.08821684054916736,7.196007016155172,7.126059831346939,0.14367804862462652,False,Not Significant
C14orf79,0.07455886696094183,1.7210493442613979,0.08823735135659638,6.864356643879311,6.789797776918369,0.14367804862462652,False,Not Significant
BMP10,-0.08283724254222502,-1.7223622618059562,0.08823666373590945,6.952239602396551,7.035076844938776,0.14367804862462652,False,Not Significant
C14orf105,0.09038357958233689,1.7226003374487369,0.0882932603480589,4.370794839051724,4.280411259469387,0.14375176648644933,False,Not Significant
HEXA-AS1,0.04331928967206178,1.7202298225953228,0.0883703509366764,4.579432256896552,4.53611296722449,0.1438599485556711,False,Not Significant
ADAM23,0.08030534907037445,1.7216727952659725,0.08839466125561533,7.423868914172415,7.34356356510204,0.1438821928061714,False,Not Significant
PREPL,-0.160984985448275,-1.7194807785766657,0.08848960061371101,8.837487129551725,8.998472115,0.14401938250172258,False,Not Significant
RPS4Y1,-0.6819033234152023,-1.7199977107114652,0.08852633188627086,9.761516212482757,10.44341953589796,0.14406181522491882,False,Not Significant
TCP10L,-0.07258165219845036,-1.7188993296850072,0.0885926496267103,7.0977447894137935,7.170326441612244,0.14415237896761254,False,Not Significant
UNC93A,0.08137916500352027,1.7186470818093698,0.08862955860560856,6.119970487758621,6.038591322755101,0.1441950745822559,False,Not Significant
WIPF1,0.0919984895548911,1.718326881623719,0.08874802784073162,8.634368013534482,8.542369523979591,0.1443704376826538,False,Not Significant
DLD,0.15528283219669348,1.718002520587692,0.08880679009995485,9.287077882706896,9.131795050510203,0.14444864221938739,False,Not Significant
TPM1,-0.1639316071755772,-1.7180537462425234,0.08887267060213741,10.565935636844829,10.729867244020406,0.14453840471575055,False,Not Significant
GLTSCR1,0.05304734027656721,1.7170831120296688,0.08891986697873565,8.479947136827588,8.426899796551021,0.14459776226899437,False,Not Significant
PLCH2,0.11629846786558584,1.7166454035852343,0.08899300082820809,6.016480186620689,5.900181718755103,0.14469927889716463,False,Not Significant
IFT122,0.06779866014144886,1.7166972569243886,0.0890408364566618,8.330490563896552,8.262691903755103,0.14474223054026755,False,Not Significant
PLA2G2E,-0.0668261576949325,-1.7170845272926263,0.08903692195615218,6.6741756376724135,6.741001795367346,0.14474223054026755,False,Not Significant
TRAM2,-0.12540025106791042,-1.716133590926635,0.08913384868016444,9.18264923125862,9.308049482326531,0.14487600299608208,False,Not Significant
TMPRSS5,-0.05585197629099348,-1.7161909209893043,0.08915338164608837,8.036523093362069,8.092375069653063,0.1448903262321891,False,Not Significant
ZFAND6,0.13442997666432,1.7159686828628935,0.08917804629695543,9.800532370827586,9.666102394163266,0.14491298493487467,False,Not Significant
THYN1,0.10706723639725624,1.7164075286163487,0.08919117882577467,8.871404380948277,8.764337144551021,0.14491690091732923,False,Not Significant
FOXP3,-0.07871994063581855,-1.7175798003040375,0.08925586680771391,6.336889064017242,6.415609004653061,0.1450045726537148,False,Not Significant
DUT,-0.11606664197079297,-1.7160775511740511,0.08928542368584552,10.328851624396552,10.444918266367345,0.14503515638391853,False,Not Significant
